Gde_Nr,Bevölkerung,Arbeitsplätze
4776,1596,440.9
4781,4632,1367.1999999999998
4786,2490,402.59999999999997
4791,1133,301.6
4801,884,245.7
4806,1729,418.0
4811,1030,206.5
4816,1537,588.1
4821,1705,543.9
4826,653,324.20000000000005
4831,2939,894.7
4841,1951,525.5
4846,391,118.10000000000001
4851,1288,307.6
4864,3754,1065.9
4871,1661,259.79999999999995
4881,1311,376.3
4891,3308,1156.3999999999999
4901,1338,254.0
491,590,202.2
4911,3751,1132.9
492,1450,329.8
4921,2268,2383.7
493,586,122.1
494,793,494.8
4941,2802,828.3
4946,11288,6970.400000000001
495,936,536.8
4951,2423,780.9
496,3496,1168.6
497,530,95.2
498,1342,876.4
499,571,175.3
5,3687,1217.3
500,426,108.7
5001,4944,2113.8
5002,42901,19750.100000000002
5003,2855,1404.2
5009,384,145.0
501,440,313.3
5010,1448,303.5
5017,2452,1933.6
502,854,123.30000000000001
5048,1850,603.6
5049,1816,431.1
5050,2101,463.30000000000007
5061,1526,805.6
5063,109,40.8
5064,1038,382.5
5071,192,27.4
5072,2978,896.0
5073,879,260.5
5076,340,101.3
5077,780,242.2
5078,424,120.0
5079,1069,464.9
5091,5515,2400.4
5095,175,54.8
5096,495,55.199999999999996
5097,1773,1024.5
51,4087,1544.6000000000001
5102,14,0.0
5105,107,16.6
5108,4568,1222.1
5112,1318,728.1999999999999
5113,16122,10218.900000000001
5115,6612,2661.6000000000004
5117,216,18.5
5118,7268,1386.3000000000002
5120,2686,1147.1000000000001
5121,767,400.6
5125,603,107.9
5129,87,26.5
5131,3040,950.9000000000001
5135,272,31.0
5136,698,162.2
5138,2909,365.1
5141,4518,2318.5
5143,368,24.1
5144,1004,182.60000000000002
5146,305,32.8
5148,1574,1513.9
5149,644,96.2
5151,2648,4428.1
5154,905,164.3
5160,495,65.7
5161,791,119.5
5162,1520,1570.4
5167,2121,632.4
5171,4373,1208.9
5176,2083,779.8
5178,875,767.0
5180,1359,237.89999999999998
5181,546,56.800000000000004
5186,526,850.1
5187,1299,846.4000000000001
5189,1785,1409.8000000000002
5192,63932,45288.1
5193,1594,424.7
5194,1318,4488.0
5195,664,211.79999999999998
5196,6195,1411.5
5197,1457,408.1
5198,1806,595.3
5199,1375,2409.8
52,11616,3458.5
5200,308,43.0
5202,896,665.9
5203,755,185.89999999999998
5205,804,878.9
5206,331,63.8
5207,843,273.1
5208,1466,121.1
5210,4152,2427.6
5212,1884,159.4
5213,813,223.1
5214,1612,733.2
5216,1398,119.8
5219,834,75.2
5221,2212,882.9000000000001
5222,703,79.9
5225,1783,896.4
5226,6603,1058.8999999999999
5227,3066,1464.8
5230,582,34.4
5231,1971,809.4000000000001
5233,382,122.6
5236,4656,1870.0
5237,1414,123.5
